company_id;industry;naics_description;sic_description;categories;naics_code;naics_codes;sic_code;sic_codes;employees_range;employees;revenue_range;revenue;year_founded;Category;V_Oct19;V_Nov19;V_Dec19;V_Jan20;V_Feb20;V_Mar20;S1_Jan20;S1_Feb20;S1_Mar20;S2_Apr19;S2_May19;S2_Jun19;S2_Jul19;S2_Aug19;S2_Sep19;S2_Oct19;S2_Nov19;S2_Dec19;S2_Jan20;S2_Feb20;industry_ismissing;naics_description_ismissing;sic_description_ismissing;categories_ismissing;naics_code_ismissing;naics_codes_ismissing;sic_code_ismissing;sic_codes_ismissing;employees_range_ismissing;employees_ismissing;revenue_range_ismissing;revenue_ismissing;year_founded_ismissing;Category_ismissing;V_Oct19_ismissing;V_Nov19_ismissing;V_Dec19_ismissing;V_Jan20_ismissing;V_Feb20_ismissing;V_Mar20_ismissing;num_missing
13;Health, Wellness and Fitness;Health Care and Social Assistance;Health Services;food and drug administration:10.0, health management service:20.0, emergency response:46.67, health service:1.67, university:3.33, social assistance:1.67, emergency:5.0, health:1.67, technology:10.0, global positioning system:41.67, research:3.33, sales:1.67, no contract:40.0, mobile device:16.67, monitoring service:13.33, health and personal care store:16.67, emergency response service:18.33, safety:5.0, cellular:20.0, wireless:6.67, healthcare technology:15.0, health care:3.33, health management:30.0;62.0;446, 5191, 5416, 62;80.0;80;200 - 500;226.0;10000000 - 50000000;27558354.0;2006.0;;1000000.0;1050000.0;1050000.0;950000.0;960000.0;998539.0;1833;885;338;6399;7100;7126;7182;7020;7114;10516;16935;24287;25783;28037;False;False;False;False;False;False;False;False;False;False;False;True;False;True;True;True;True;True;True;True;8
14;Legal Services;Offices of Lawyers;Business services, nec;college:0.91, class action:4.09, law firm:3.64, copyright:2.73, patent:4.55, civil right:7.27, university:0.91, law offices:27.27, accident injury:4.55, social security disability:29.09, motorcycle:1.82, bar:0.91, security:0.91, government:1.36, social security:3.18, consumer protection:4.09, intellectual property law:3.64, speakers:2.27, club:1.36, justice:10.91, commercial truck:4.09, construction:0.45, products liability:3.64, lawyer:30.0, personal injury:36.36, nursing home:2.73, insurance defense:4.09, automobile accidents:12.73, marketing:0.45, legal service:5.45, litigation:1.82, intellectual property:15.91, attorney:20.45, eminent domain:4.55, medical malpractice:3.18, workers compensation:1.36, compensation:22.73, local business:0.91, accident lawyers:4.55;541110.0;54, 5411, 541110;7389.0;7389, 8111;50 - 200;135.0;10000000 - 50000000;28429527.0;1997.0;;1000000.0;1050000.0;1050000.0;950000.0;960000.0;998539.0;219;382;220;18350;11408;13317;14364;23981;25921;28821;83369;90393;93871;98356;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;True;True;True;True;7
15;Retail;Miscellaneous Store Retailers;Women's clothing stores;gift card:3.18, yoga:5.45, apparel:1.36, vests:3.64, retail:0.91, swimming:2.73, skirts:3.18, specialty retail:2.27, swimwear:9.55, jackets:2.73, sweater:3.18, climbing:3.18, athletic apparel:59.09, sunglasses:2.73, activewear:8.18, rugby:3.18, fleece:3.64, socks:3.18, athletic clothing:35.45, hiking:2.73, store:2.73, sportswear:3.18, shoes:1.82, tennis:2.27, softball:3.18, womenswear:6.36, clothing:15.0, volleyball:3.18, gym:2.27, travel:0.91, sport:9.09, athletic:50.0, lacrosse:3.18, fencing:2.73, gear:1.82;453.0;448120, 448190, 453;5621.0;5621;200 - 500;314.0;50000000 - 100000000;99112374.0;1989.0;Lifestyle>FashionandApparel;260000.0;260000.0;310000.0;270000.0;320000.0;350000.0;31787;45920;34601;15980;13995;11936;10238;10759;12560;12991;16667;25086;33546;35058;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;1
16;Broadcast Media;Cable and Other Subscription Programming;Motion picture and video production;motion picture and video production:17.5, collectible:7.5, gift card:8.75, entertainment:2.5, video content:35.0, silicon valley:45.0, trailer:15.0, computer:2.5, video on demand:11.25, shirts:5.0, original series:105.0, games:3.75, cable:12.5, documentary:50.0, algorithm:7.5, vice president:8.75, glass:3.75, musical:12.5, television:30.0, comedy:30.0, recreation:2.5, film:7.5, blood:43.75, mobile device:12.5, channels:5.0, boxing:26.25, sport:7.5, tablets:6.25, accessory:2.5;515210.0;5121, 512110, 515210, 71;7812.0;4841, 78, 7812;5000 - 10000;9932.0;> 1000000000;1479556548.0;1972.0;ArtsandEntertainment>TVMoviesandStreaming;5750000.0;6150000.0;5850000.0;5450000.0;4550000.0;6450000.0;366634;308905;613549;52274;17596;17732;17607;17391;17561;17684;63720;70964;76003;77643;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;2
17;Utilities;Utilities;Electric, Gas and Sanitary Services;plumbing services:1.63, renovation:0.93, repair:1.4, connected home:2.56, air conditioning:0.93, ventilation:1.4, emergency:0.7, retail:0.47, heating and cooling:1.4, homeowner:0.93, government:0.7, energy efficiency:1.4, solar installation:2.33, gas:0.7, construction:0.23, heating:0.47, plan:2.79, smart energy:2.33, energy:20.0, electrical system:1.63, electricity:15.81, sanitary:1.16, plumbing:0.47, natural gas:25.12, home service:13.02, strategic partnership:1.4, electrical service:1.4, demand response:2.33;22.0;22, 221, 2211, 221122, 238220, 541990;49.0;49, 4911, 7299, 7699;5000 - 10000;8171.0;> 1000000000;1962899810.0;1997.0;HeavyIndustryandEngineering>EnergyIndustry;800000.0;820000.0;760000.0;830000.0;690000.0;740000.0;11221;10609;13790;33137;14512;15685;16924;18058;19110;19464;87957;91413;93323;93437;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;2
18;Newspapers;Newspaper Publishers;Newspapers;newspaper:14.0, national security:3.2, directory publishers:2.4, environmental:1.2, race:6.0, investigative reporting:9.6, entertainment:0.8, civil right:9.6, book:1.2, printing services:1.2, political:8.0, technology:0.4, journal:6.0, government:3.6, political news:110.0, magazine:3.6, publishing:1.2, sport:0.8, energy:0.8;511110.0;5111, 511110;2711.0;27, 2711;200 - 500;318.0;50000000 - 100000000;58182633.0;1982.0;NewsandMedia;8150000.0;6700000.0;8300000.0;10100000.0;9800000.0;12000000.0;61077;59787;46581;7431;7106;8253;8493;8877;10406;11485;24965;29115;32276;34504;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;2
20;Internet;Other Computer Related Services;Computer related services, nec;project management:30.0, web hosting:3.33, software:1.67, messenger:15.0, business communication:11.67, social networking:20.0, web 2.0:11.67, user experience:8.33, social medium:5.0;541519.0;541519, 811212;7379.0;7379;10 - 50;50.0;1000000 - 10000000;2270279.0;2005.0;ComputersElectronicsandTechnology>ProgrammingandDeveloperSoftware;410000.0;420000.0;430000.0;410000.0;380000.0;520000.0;24208;13021;36302;1780;2039;2054;2069;4517;4649;5933;28347;24619;24749;24279;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;2
21;Retail;Miscellaneous Store Retailers;Miscellaneous Retail;jewelry:8.57, sunglasses:8.57, dress:14.29, springs:5.71, scarf:10.0, hats:8.57, apparel:4.29, wallets:10.0, womens fashion:17.14, store:20.0, shoes:5.71, jeans:17.14, handbag:8.57, hair:4.29, specialty retail:7.14, books:4.29, jackets:8.57, clothing:8.57, belts:8.57, accessory:5.71;453.0;23611, 424330, 44, 448120, 448150, 448210, 453;59.0;51, 5137, 5611, 5621, 59;10 - 50;16.0;1000000 - 10000000;6660303.0;1937.0;Lifestyle>FashionandApparel;3050000.0;2700000.0;2850000.0;2750000.0;2650000.0;2200000.0;118809;122605;94933;13733;16862;1061;3098;4561;13647;19463;28847;31160;32468;33416;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;1
22;Retail;Retail Trade;Miscellaneous Retail;retail operation:27.69, online store:1.92, hiring:1.92, active wear:15.38, woven:2.69, apparel:5.77, merchandising:15.38, retail:6.92, banking:30.0, skirts:2.69, specialty retail:1.92, bank:1.15, retail sale:2.31, clothing stores:3.46, womens apparel:15.0, jackets:2.31, sleepwear:13.85, sweater:2.69, leisure:4.62, jewelry:5.77, footwear:9.23, retailer:17.31, spirit:1.15, retail store:19.23, consumer service:2.31, store:17.69, womenswear:10.77, trade:3.08, display advertising:1.54, clothing:12.69, knit:2.69, accessory:9.23;44.0;424330, 44, 448120, 448190, 448210, 45211, 453, 52, 522, 722, 722513;59.0;51, 5137, 5311, 5621, 5812, 59;1000 - 5000;1250.0;200000000 - 1000000000;356870000.0;1986.0;Lifestyle>FashionandApparel;1300000.0;1450000.0;1500000.0;1200000.0;1050000.0;1250000.0;55593;45224;58728;11062;9470;11038;11726;13394;17528;25176;30202;45512;50602;50579;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0
23;Retail;Retail Trade;Miscellaneous Retail;renewable resource:30.77, steel:3.08, hewlett packard:3.85, door:1.54, hats:13.85, apparel & accessory:7.69, cotton:13.85, apparel:25.38, retirement:3.85, merchandising:7.69, retail:13.85, dutch:4.62, skirts:10.77, consumer merchandise:4.62, bedding:13.85, cruise lines:6.92, shirts:12.31, towels:21.54, fitness:2.31, stand:2.31, bath:30.77, insulator:6.92, leisure:2.31, french:3.08, magento:4.62, silk:4.62, jewelry:9.23, retailer:19.23, home decor:3.85, socks:16.15, merchant:3.85, bathrobes:7.69, carnival:6.15, hand bag:23.08, store:20.0, purses:5.38, handbag:4.62, trade:3.08, polo:9.23, fabric:3.08, cruise:7.69, luxury:6.92, clothing:18.46, magazine:2.31, accessory:18.46;44.0;424330, 44, 45211, 811411;59.0;5137, 5311, 59, 7699;500 - 1000;515.0;10000000 - 50000000;48726623.0;2007.0;Lifestyle>FashionandApparel;65000.0;160000.0;150000.0;140000.0;100000.0;130000.0;8942;6330;14030;9955;11043;26365;4805;5890;7955;8154;41855;42946;44472;44895;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0
24;Higher Education;Colleges, Universities, and Professional Schools;Colleges and universities;college:3.33, government contracting:1.5, nonprofit:1.0, education:1.67, university:20.0, fine art:0.83, social assistance:0.17, international relation:1.5, human resource management:1.17, professional school:1.67, network:2.33, rock:0.67, it management:1.17, liberal art:1.5, music:1.67, universities:1.33, academic:0.67, accreditation:3.0, military:3.33, health care:0.17, academy:2.0, environmental management:1.17, security management:1.33, operations management:1.33, counseling:2.67, health service:0.17, higher education:2.0, air force:1.17, health:0.17, classroom:0.83, mergers and acquisitions:0.67, technology:0.33, human resources:0.67, mba:4.0, colleges and university:2.33, business administration:1.17, early childhood:1.17, schools:1.0, procurement:0.83, financial aid:2.67, chamber of commerce:0.83, global network:1.17, finance:0.33;611310.0;61, 611, 611110, 611310, 62;8221.0;80, 8211, 8221;1000 - 5000;4487.0;100000000 - 200000000;186790103.0;1915.0;ScienceandEducation>UniversitiesandColleges;850000.0;600000.0;590000.0;590000.0;630000.0;610000.0;2217;5426;4571;111710;101834;1392;7507;9254;11681;12010;93350;85799;77082;72601;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0
25;Broadcast Media;Broadcasting (except Internet);Communications;college:4.0, motor:0.27, racing:0.45, entertainment:0.91, consumer products:0.45, apparel:0.27, video content:0.64, radio:0.36, bike:0.36, network:0.18, golf:1.82, computer:0.36, dvd:0.36, radios:0.64, recruiting:2.91, games:2.73, magazines:0.45, hockey:0.55, television:0.36, rugby:5.09, restaurant:0.18, mobile technology:0.64, cable television networks:2.55, xbox:3.18, tennis:2.27, sports media:4.55, broadcasting:0.36, mobile device:0.91, multimedia:1.82, books:0.55, podcasts:1.91, broadband:1.64, cricket:5.09, backpack:0.64, wireless:0.73, magazine:0.27, sport:20.0, tablets:0.45, internet:0.36;515.0;515, 71121;48.0;48, 794;5000 - 10000;9117.0;> 1000000000;1991059030.0;1979.0;Sports>Sports;499000000.0;506500000.0;497000000.0;451500000.0;344000000.0;286500000.0;1168144;519499;255778;68632;8642;8823;10020;522;7828;7875;25799;26098;27389;27474;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;2
26;Furniture;Institutional Furniture Manufacturing;Wood office furniture;gift:0.42, carpets:0.83, education:0.28, software:0.56, motion picture and video:0.97, mobile application development:0.56, oil and gas extraction:0.42, audio visual:0.97, oil and gas field services:0.69, motion picture:0.69, tape:7.64, furniture:12.5, ebooks:0.97, manufacturing:0.14, chairs:0.69, office supply:0.69, office equipment:0.97, project management:0.83, lounge:0.69, school furniture:1.53, equipment:0.28, classroom:0.69, mining:0.28, decorative:0.69, books:0.42, product procurement:3.06, schools:0.56, facility management:0.83, poster:1.39, event management:1.39, book:21.67, desks:1.94, dedicated service:1.11, distribution:0.83, finishing:0.69, commercial service:0.56, security:6.11, protectors:11.11, library:50.0, teacher:1.67, decor:0.69, design:0.28, shelving:3.89, educational game:1.39, table:0.42, quarrying:0.42, libraries:5.0, arts and crafts:0.97, technology:0.42, workstations:0.97, carts:15.28, circulation:0.97, translation:0.69, accessory:0.28;337127.0;21, 21111, 337127, 337211, 337214, 339999, 45411, 454113, 512120;2521.0;1389, 2521, 2522, 2599, 3999, 5961, 7822, 7829;200 - 500;454.0;50000000 - 100000000;95784185.0;1905.0;HobbiesandLeisure>AntiquesandCollectibles;110000.0;110000.0;110000.0;150000.0;110000.0;120000.0;13470;11087;7433;22119;20354;20523;0;3743;6292;7317;14066;16099;17749;20596;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;2
27;Retail;Retail Trade;Miscellaneous Retail;snack:25.0, restaurant:10.0, weight management:70.0, consumer service:6.0, branded product:40.0, retail:14.0, food:10.0, network:10.0, bar:10.0, trade:2.0, channels:20.0, mobile web site development:45.0, fitness:13.5, magazines:25.0, franchising:20.0, magazine:15.0, personal service:4.0, monitors:27.0;44.0;44, 62, 81219, 812191, 812990;59.0;4899, 59, 7299, 80;> 10000;18000.0;> 1000000000;1500000000.0;1974.0;Health>NutritionDietsandFitness;1000000.0;7000000.0;8400000.0;7750000.0;15500000.0;10700000.0;673335;431351;307982;46726;45379;44976;44304;43238;43161;41710;47432;55328;97104;99419;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;1
28;Leisure, Travel & Tourism;Travel Arrangement and Reservation Services;Hotels, Rooming Houses, Camps, and Other Lodging Places;associations:1.67, flight:37.5, booking:29.17, tickets:25.0, vacation package:6.67, airline ticket:22.5, book:5.0, travel agency:15.0, technology:2.5, online travel:60.0, network:5.0, travel agent:17.5, cars:2.5, travel services:5.83, airline travel:10.83, hotels:1.67, airline:50.0, travel:18.33;5615.0;5615, 721;70.0;70;50 - 200;121.0;10000000 - 50000000;18148188.0;1999.0;TravelandTourism>TravelandTourism;600000.0;680000.0;630000.0;930000.0;750000.0;580000.0;222018;185818;119603;55334;54522;65396;67445;72061;84813;90391;190319;200534;211204;212250;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;2
